Timestamp,Name (Optional):,Where do you normally go to use computer and the internet?,E-learning can give a greater number of benefits as opposed to inconveniences to my academic achievement.,"In comparison to chalk and talk, e-learning makes my instruction more successful.",E-learning has the potential to improve my computer and internet skills.,E-learning allows me to learn in a variety of ways and can make learning more enjoyable.,"Even though I am far from a teacher, E-learning provides me with a good instructional learning program.","In my learning, e-learning gives full information with great exercises.",,,,,,
9/7/2021 12:17:58,,House,Strongly disagree,Neutral,Strongly agree,Neutral,Disagree,Disagree,,,,,,
9/7/2021 12:18:48,,House,Agree,Strongly agree,Agree,Strongly Agree,Agree,Strongly Agree,,,,,,
9/7/2021 12:19:10,,House,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,,,,,,
9/7/2021 12:20:17,Christian Brown,House,Disagree,Disagree,Strongly agree,Neutral,Disagree,Disagree,,,,,,
9/7/2021 12:20:31,,House,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,,,,,,
9/7/2021 12:20:41,,House,Agree,Neutral,Agree,Agree,Agree,Agree,,,,,,
9/7/2021 12:20:56,,House,Neutral,Neutral,Agree,Neutral,Neutral,Agree,,,,,,
9/7/2021 12:20:59,,House,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,,,,,,
9/7/2021 12:23:40,,House,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,,,,,,
9/7/2021 12:24:33,,Internet Cafe,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,,,,,,
9/7/2021 12:31:54,,House,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,,,,,,
9/7/2021 12:40:29,,House,Agree,Neutral,Strongly agree,Agree,Agree,Strongly Agree,,,,,,
9/7/2021 12:49:47,,House,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly Agree,,,,,,
9/7/2021 12:50:03,,House,Strongly agree,Agree,Agree,Agree,Agree,Strongly Agree,,,,,,
9/7/2021 12:51:34,,House,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,,,,,,
9/7/2021 12:55:02,,Friend's Home,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,
9/7/2021 13:04:14,,House,Strongly agree,Agree,Strongly agree,Strongly Agree,Agree,Strongly Agree,,,,,,
9/7/2021 13:10:55,,House,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,,,,,,
9/7/2021 13:17:39,Bien,House,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,
9/7/2021 13:24:33,,House,Neutral,Neutral,Agree,Agree,Neutral,Neutral,,,,,,
9/7/2021 13:30:42,,Friend's Home,Agree,Neutral,Agree,Neutral,Strongly agree,Strongly Agree,,,,,,
